month,mine_output_kt,processing_cap_kt,port_capacity_kt,demand_kt,price_usd_t,transport_cost_t,inventory_kt,ghg_transport_t_co2
2020-01-01,273.1,309.5,278.7,265.5,86.1,19.83,93.5,0.0805
2020-02-01,295.8,329.0,311.3,336.2,68.3,16.21,47.2,0.0627
2020-03-01,308.8,350.1,303.5,306.0,136.37,19.7,56.7,0.0849
2020-04-01,342.1,346.3,315.8,339.8,104.47,19.58,56.2,0.074
2020-05-01,311.7,333.4,286.7,178.6,173.05,20.66,87.7,0.0875
2020-06-01,375.5,305.7,318.6,383.0,107.55,16.73,91.6,0.0845
2020-07-01,368.2,307.1,252.9,265.0,115.71,14.76,58.3,0.1007
2020-08-01,347.5,338.1,226.3,254.0,116.23,13.78,90.4,0.0987
2020-09-01,363.6,302.8,267.2,381.9,88.07,16.19,74.7,0.0729
2020-10-01,378.4,320.8,258.3,317.8,126.03,12.75,80.3,0.0813
2020-11-01,327.5,327.3,277.9,303.6,121.67,19.93,92.0,0.0777
2020-12-01,378.5,286.6,294.1,242.8,120.05,16.66,68.4,0.0755
2021-01-01,278.6,313.3,250.2,268.5,109.62,14.75,92.4,0.0804
2021-02-01,334.8,329.8,313.6,342.7,118.73,20.66,120.6,0.0622
2021-03-01,383.9,310.0,274.3,312.8,86.33,19.08,76.0,0.0739
2021-04-01,305.3,355.8,334.0,210.1,138.76,17.68,103.7,0.0913
2021-05-01,304.0,296.2,266.1,352.5,115.53,22.87,95.5,0.05
2021-06-01,324.5,354.0,319.7,280.2,157.38,20.36,69.9,0.0641
2021-07-01,348.8,361.4,242.1,357.1,130.68,18.14,95.9,0.0916
2021-08-01,344.1,347.2,280.6,292.6,116.98,18.42,71.2,0.0933
2021-09-01,374.4,349.4,284.2,306.6,123.56,13.05,103.4,0.067
2021-10-01,401.9,304.9,228.4,348.2,135.14,13.77,109.1,0.0916
2021-11-01,356.7,287.2,268.2,283.4,139.88,14.33,79.1,0.0899
2021-12-01,386.2,325.4,310.4,271.3,113.14,12.45,63.4,0.0821
2022-01-01,346.6,303.0,274.6,237.4,132.26,16.45,93.0,0.0778
2022-02-01,326.2,314.1,335.2,308.7,116.12,24.18,76.1,0.089
2022-03-01,395.0,298.5,254.3,282.2,162.83,16.48,80.5,0.078
2022-04-01,339.7,303.2,306.5,328.1,122.86,18.86,77.7,0.0821
2022-05-01,299.7,341.2,281.6,288.0,153.77,19.89,105.9,0.0898
2022-06-01,383.7,304.2,252.0,323.4,139.81,17.14,72.5,0.0742
2022-07-01,384.5,325.4,294.6,320.7,131.33,18.37,77.3,0.0767
2022-08-01,370.9,303.0,284.4,269.2,147.89,16.93,105.1,0.0943
2022-09-01,353.5,313.9,293.3,354.4,128.86,15.93,71.6,0.0695
2022-10-01,343.0,265.0,289.7,265.6,85.05,18.26,70.3,0.0878
2022-11-01,327.8,292.8,304.1,218.6,111.72,16.79,96.1,0.0816
2022-12-01,397.4,334.9,317.9,288.8,118.9,15.91,91.2,0.0856
2023-01-01,323.4,289.5,246.7,215.8,125.57,17.21,52.1,0.0818
2023-02-01,291.0,319.2,255.9,309.1,141.46,15.6,52.1,0.0733
2023-03-01,383.5,318.4,256.7,269.0,102.78,21.59,89.5,0.0614
2023-04-01,344.7,342.1,251.2,351.9,72.22,20.62,59.9,0.0662
2023-05-01,379.8,284.7,239.8,311.3,108.59,20.6,87.3,0.0758
2023-06-01,352.3,319.8,280.3,215.6,132.5,17.09,66.4,0.0885
2023-07-01,369.1,305.1,263.5,305.2,119.21,14.46,105.0,0.084
2023-08-01,322.2,362.3,303.4,414.3,96.5,20.65,87.9,0.0909
2023-09-01,396.9,370.3,318.2,353.1,132.94,12.83,53.7,0.0855
2023-10-01,303.0,347.4,280.5,358.2,127.83,21.91,88.9,0.0798
2023-11-01,279.8,340.6,309.4,389.5,116.07,23.89,97.2,0.0919
2023-12-01,324.3,313.5,280.5,336.5,190.51,21.14,83.3,0.083
2024-01-01,337.1,316.5,313.2,277.5,81.55,18.03,69.3,0.0919
2024-02-01,391.5,310.9,326.7,352.0,98.24,14.4,89.5,0.0821
2024-03-01,327.9,328.2,256.9,338.8,135.19,16.86,94.3,0.0713
2024-04-01,332.8,302.6,301.1,279.2,120.47,16.8,90.7,0.0847
2024-05-01,353.7,292.7,290.2,269.9,108.65,19.02,78.5,0.0796
2024-06-01,297.4,306.8,270.1,307.3,97.0,18.6,98.7,0.0699
2024-07-01,423.1,306.8,241.8,220.8,86.02,22.69,55.0,0.0962
2024-08-01,332.4,289.1,283.6,269.5,141.01,16.93,54.6,0.0801
2024-09-01,375.4,361.8,280.0,312.9,117.13,21.02,74.3,0.0783
2024-10-01,362.0,342.1,265.0,231.4,139.77,18.61,114.6,0.0725
2024-11-01,289.5,333.2,258.2,298.6,80.64,17.6,113.6,0.0702
2024-12-01,351.3,312.2,351.5,219.3,150.06,18.67,108.2,0.0809
