Seed,Total_Produced_kt,Total_Processed_kt,Total_Shipped_kt,Customer_1_Backlog,Customer_2_Backlog,Customer_3_Backlog,Total_Backlog_kt
1,1429.6297548944913,1219.3726088621454,1034.249049466302,0.0,26.03192820515958,23.738286521310094,49.770214726469675
2,1480.9072451274333,1267.0515301964865,1053.931444343078,0.0,18.171593387399604,24.26456472898187,42.43615811638148
3,1469.9765739848876,1286.5924877749533,1057.866727048462,0.0,13.785385666123126,29.133575623577073,42.9189612897002
4,1430.9441633050835,1252.1794549680242,1086.9217154319626,0.0,11.106605910315587,25.32623425278478,36.432840163100366
5,1420.2081909462115,1262.5841218499522,1066.4029126632524,0.0,15.423164100671045,28.11530386519934,43.53846796587038
6,1507.5327252649895,1192.5837208562107,1027.0875706241316,0.0,1.1715386882453878,32.04923514440724,33.220773832652625
7,1365.4058805114028,1242.1932819376382,996.206871475953,0.0,8.582078289473234,19.746404643941503,28.328482933414737
8,1420.2826334737779,1258.831518514454,1023.9234583885851,0.0,16.645963031002445,21.552155083369165,38.19811811437161
9,1418.2762177199904,1261.9023634410096,1034.09683073494,0.0,11.207896022408793,26.71787315614109,37.925769178549885
10,1451.0912416190924,1224.974142326115,1077.3591602576353,0.0,16.883357257605223,30.839071713523598,47.72242897112882
11,1396.9329111467237,1274.860933157814,978.5350700403011,0.0,10.1836030598635,29.036096402798016,39.21969946266152
12,1329.7846136261862,1239.8076015946249,1021.4437485975122,0.0,0.0,26.833096240150393,26.833096240150393
13,1344.039049622483,1232.1677794369907,973.3492776501121,0.0,7.805891315521023,34.02054312990554,41.826434445426564
14,1418.7126937316425,1223.2733864213048,1064.2570564750094,0.0,5.7954014805115115,21.839428461320193,27.634829941831704
15,1458.032913162066,1326.225880109495,1041.4473449053226,0.0,13.69247947191922,23.026091762734804,36.71857123465402
16,1313.2561613277921,1284.7970830226816,1050.9171006988802,0.0,7.518923385003127,23.76338686781383,31.282310252816956
17,1524.5138122335225,1240.5155587509234,1017.8397755272343,0.0,24.503079917095263,20.05816612230744,44.561246039402704
18,1473.7484863761047,1244.1304741758795,1053.7555694269495,0.0,14.525083897665404,22.969937795185686,37.49502169285109
19,1482.2692211387425,1269.1153266549356,1001.2095706375043,0.0,10.278725871492014,23.482988662074934,33.761714533566945
20,1415.1450078520268,1266.1637290994527,1029.6343303997035,0.0,16.061642805144512,22.256162069827134,38.31780487497164
21,1464.9200844827571,1289.5154435478462,1038.6027700159343,0.0,7.540331124108803,25.04281405417681,32.58314517828561
22,1449.4775298350098,1251.0775216711086,1040.0345801126107,0.0,24.779041119959352,35.790094911658045,60.5691360316174
23,1463.939721046098,1251.4699178215633,1074.4848122361345,0.0,6.053884443415246,31.50905704658087,37.56294148999612
24,1449.2707058720002,1291.183212972376,1062.2092052231962,0.0,11.700206494115765,25.012598842123563,36.71280533623933
